Iters, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
5, 0.0, 0.8, 4080.9, 5001.0, 4710.533333333334, 4710.533333333334, -381.9861735448241
10, 0.0, 4.8, 2242.0, 3223.5, 2592.0444444444447, 2592.0444444444447, -172.36145484894513
25, 0.0, 7.8, 354.1, 2268.3, 1018.7333333333333, 1018.7333333333333, 36.63145763427019
50, 0.0, 7.8, 779.7, 1330.9, 987.8555555555555, 987.8555555555555, -10.547822993993758
75, 0.0, 8.4, 299.1, 1309.0, 662.9555555555555, 662.9555555555555, 42.06119637787342
100, 0.0, 8.7, 289.3, 863.3, 513.3666666666668, 513.3666666666668, 43.07414599508047
150, 0.0, 9.0, 273.7, 389.7, 343.53333333333336, 343.53333333333336, 44.62237101495266
200, 0.0, 9.0, 260.8, 365.6, 326.5333333333333, 326.5333333333333, 45.928022763878104
250, 0.0, 9.0, 262.2, 379.3, 335.1888888888889, 335.1888888888889, 45.72526014521718
500, 0.0, 9.0, 250.6, 364.0, 320.3444444444445, 320.3444444444445, 46.96922851055861
1000, 0.0, 9.0, 248.3, 359.1, 315.31111111111113, 315.31111111111113, 47.15822987183928
